part_time_job,time_sleep,upset_academic_affairs,nervous_academic_pressure,unable_cope_academic_activities,things_going_on_way,academic_performance_top,angered_bad_performance,academic_difficulties_piling_up,never_satisfied_achievements,quickly_irritated_people,future_gloomy,quickly_impatient,smoke_too_much,often_rushed_work,not_sleeping_well,find_criticism_difficult,panic_attacks,changes_lifestyle,financial_problems,experienced_injury,separated_family,stress_level
1,6.0,4,3,3,2,1,1,3,3,2,1,1,0,2,3,2,0,1,0,1,1,2
1,5.0,2,4,2,3,3,2,4,3,0,1,3,0,2,3,0,0,1,0,0,1,1
1,6.0,2,2,1,3,3,3,1,0,1,0,1,1,0,0,2,0,1,0,0,0,1
1,4.0,4,4,4,0,0,3,4,2,3,3,3,3,3,3,3,1,0,0,0,1,2
0,7.0,3,4,3,2,2,2,3,2,1,1,2,0,2,2,3,1,0,0,0,0,1
1,7.0,1,2,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,8.0,3,2,2,3,2,2,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0
0,7.75,2,3,2,2,1,2,3,2,1,1,2,1,1,0,0,2,1,0,0,0,1
1,7.0,3,2,1,3,3,2,1,1,0,1,0,0,1,2,0,0,1,0,0,1,1
1,8.0,3,2,1,4,3,2,1,2,1,1,0,0,1,1,1,0,1,0,1,1,1
1,8.5,2,2,2,2,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
1,6.0,2,2,0,4,1,1,0,2,1,1,2,0,0,2,0,0,1,0,1,1,2
1,8.5,2,2,2,2,3,1,1,2,2,1,0,0,2,1,1,1,0,0,0,0,1
0,6.5,2,2,1,3,3,1,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0
1,5.0,3,3,3,2,2,4,4,1,1,0,1,0,2,2,1,3,0,1,1,0,2
1,5.0,3,2,1,1,2,2,2,2,2,1,2,3,1,3,0,0,0,1,1,1,0
1,7.0,3,3,3,3,1,2,2,2,1,2,1,0,2,1,1,1,0,1,0,1,1
1,7.0,2,3,2,2,4,2,1,2,1,1,1,0,2,2,0,0,1,0,0,0,1
1,5.0,2,3,0,3,2,2,0,0,2,1,1,1,1,3,1,0,0,0,1,1,1
0,6.0,2,1,2,3,2,4,2,3,0,1,0,0,2,1,2,1,0,0,0,1,1
1,7.0,4,4,4,1,1,2,3,3,2,3,2,0,2,2,2,0,1,1,0,0,2
1,6.0,3,4,2,2,1,3,3,2,2,1,2,0,1,3,1,2,0,1,1,1,2
0,7.0,2,3,1,2,3,1,1,1,1,1,1,0,2,1,0,0,1,0,0,1,1
1,8.0,2,2,1,3,1,1,1,2,0,0,1,1,0,1,0,0,1,0,0,1,0
0,7.0,3,4,2,1,1,0,1,2,1,0,0,0,3,2,0,1,1,0,1,1,1
0,8.0,3,4,4,2,1,3,2,3,2,2,2,0,2,2,0,0,1,0,0,1,2
1,5.0,3,3,2,3,2,4,2,1,3,1,3,1,3,3,3,3,1,1,1,1,2
1,6.0,1,1,1,3,4,1,1,2,1,0,2,0,1,1,1,1,0,1,1,1,0
0,8.0,2,3,2,2,2,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0
0,7.0,2,4,1,3,2,3,2,3,2,1,2,0,1,2,1,0,0,0,1,0,1
0,6.0,2,2,1,3,1,3,2,3,1,0,1,1,2,1,1,1,0,0,0,1,1
1,8.0,3,3,3,3,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
1,7.0,2,3,2,2,3,3,2,1,1,1,2,0,1,2,1,1,0,1,0,1,1
0,8.0,2,2,1,2,1,1,3,2,1,1,1,0,1,1,0,1,1,0,1,0,1
1,7.0,2,1,2,3,3,0,1,2,0,0,1,0,2,0,1,1,1,0,1,0,2
0,7.0,2,3,1,3,3,1,1,1,1,2,1,0,2,2,1,0,1,1,1,1,1
0,6.0,2,3,3,2,1,1,3,2,1,1,0,0,0,2,0,0,1,0,0,0,2
1,7.0,2,2,2,2,2,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0
